,Cell count,# Branches,# Junctions,# End-points,Avg branch length,Branches/cell,Junctions/cell,End-points/cell,Avg branch length/cell
118_LeftDG_1b,43,,,,,,,,
118_LeftDG_2a,53,,,,,,,,
118_LeftDG_2b,51,,,,,,,,
118_LeftDG_3a,50,,,,,,,,
118_LeftDG_3b,42,,,,,,,,
118_RightCA1_1,52,,,,,,,,
118_RightCA1_2,64,,,,,,,,
118_RightCA1_3,49,,,,,,,,
118_RightCA3_1,55,,,,,,,,
118_RightCA3_2,41,,,,,,,,
118_RightCA3_3,36,,,,,,,,
118_RightDG_1a,63,,,,,,,,
118_RightDG_1b,51,,,,,,,,
118_RightDG_2a,91,,,,,,,,
118_RightDG_2b,44,,,,,,,,
118_RightDG_3a,48,,,,,,,,
118_RightDG_3b,44,,,,,,,,
120_LeftCA1_1,60,,,,,,,,
120_LeftCA1_2,45,,,,,,,,
120_LeftCA1_3,57,,,,,,,,
120_LeftCA3_1,52,,,,,,,,
120_LeftCA3_2,39,,,,,,,,
120_LeftCA3_3,42,,,,,,,,
120_LeftDG_1a,39,,,,,,,,
120_LeftDG_1b,40,,,,,,,,
120_LeftDG_2a,48,,,,,,,,
120_LeftDG_2b,38,,,,,,,,
120_LeftDG_3a,36,,,,,,,,
120_LeftDG_3b,35,,,,,,,,
120_RightCA1_1,46,,,,,,,,
120_RightCA1_2,58,,,,,,,,
120_RightCA1_3,71,,,,,,,,
120_RightCA3_1,43,,,,,,,,
120_RightCA3_2,46,,,,,,,,
120_RightCA3_3,41,,,,,,,,
120_RightDG_1a,33,,,,,,,,
120_RightDG_1b,27,,,,,,,,
120_RightDG_2a,56,,,,,,,,
120_RightDG_2b,46,,,,,,,,
120_RightDG_3a,56,,,,,,,,
120_RightDG_3b,44,,,,,,,,
123_LeftCA1_1,57,,,,,,,,
123_LeftCA1_2,60,,,,,,,,
123_LeftCA1_3,55,,,,,,,,
123_LeftCA3_1,46,,,,,,,,
123_LeftCA3_2,48,,,,,,,,
123_LeftCA3_3,59,,,,,,,,
123_LeftDG_1a,34,,,,,,,,
123_LeftDG_1b,41,,,,,,,,
123_LeftDG_2a,48,,,,,,,,
123_LeftDG_2b,52,,,,,,,,
123_LeftDG_3a,44,,,,,,,,
123_LeftDG_3b,70,,,,,,,,
123_RightCA1_1,63,,,,,,,,
123_RightCA1_2,44,,,,,,,,
123_RightCA1_3,59,,,,,,,,
123_RightCA3_1,53,,,,,,,,
123_RightCA3_2,50,,,,,,,,
123_RightCA3_3,51,,,,,,,,
123_RightDG_1a,43,,,,,,,,
123_RightDG_1b,50,,,,,,,,
123_RightDG_2a,38,,,,,,,,
123_RightDG_2b,43,,,,,,,,
123_RightDG_3a,56,,,,,,,,
123_RightDG_3b,60,,,,,,,,
125_LeftCA1_1,43,,,,,,,,
125_LeftCA1_2,71,,,,,,,,
125_LeftCA1_3,67,,,,,,,,
125_LeftCA3_1,55,,,,,,,,
125_LeftCA3_2,54,,,,,,,,
125_LeftCA3_3,56,,,,,,,,
125_LeftDG_1a,69,,,,,,,,
125_LeftDG_1b,51,,,,,,,,
125_LeftDG_2a,53,,,,,,,,
125_LeftDG_2b,39,,,,,,,,
125_LeftDG_3a,50,,,,,,,,
125_LeftDG_3b,57,,,,,,,,
125_RightCA1_1,45,,,,,,,,
125_RightCA1_2,53,,,,,,,,
125_RightCA1_3,59,,,,,,,,
125_RightCA3_1,46,,,,,,,,
125_RightCA3_2,54,,,,,,,,
125_RightCA3_3,51,,,,,,,,
125_RightDG_1a,40,,,,,,,,
125_RightDG_1b,47,,,,,,,,
125_RightDG_2a,58,,,,,,,,
125_RightDG_2b,51,,,,,,,,
125_RightDG_3a,70,,,,,,,,
125_RightDG_3b,70,,,,,,,,
127_LeftCA1_1,62,,,,,,,,
127_LeftCA1_2,58,,,,,,,,
127_LeftCA1_3,42,,,,,,,,
127_LeftCA3_1,42,,,,,,,,
127_LeftCA3_2,56,,,,,,,,
127_LeftCA3_3,41,,,,,,,,
127_LeftDG_1a,60,,,,,,,,
127_LeftDG_1b,44,,,,,,,,
127_LeftDG_2a,76,,,,,,,,
127_LeftDG_2b,52,,,,,,,,
127_LeftDG_3a,41,,,,,,,,
127_LeftDG_3b,49,,,,,,,,
127_RightCA1_1,67,,,,,,,,
127_RightCA1_2,58,,,,,,,,
127_RightCA1_3,46,,,,,,,,
127_RightCA3_1,47,,,,,,,,
127_RightCA3_2,49,,,,,,,,
127_RightCA3_3,49,,,,,,,,
127_RightDG_1a,64,,,,,,,,
127_RightDG_1b,56,,,,,,,,
127_RightDG_2a,52,,,,,,,,
127_RightDG_2b,48,,,,,,,,
127_RightDG_3a,40,,,,,,,,
127_RightDG_3b,49,,,,,,,,
150_LeftCA1_1,40,,,,,,,,
150_LeftCA1_2,35,,,,,,,,
150_LeftCA1_3,42,,,,,,,,
150_LeftCA3_1,46,,,,,,,,
150_LeftCA3_2,44,,,,,,,,
150_LeftCA3_3,51,,,,,,,,
150_LeftDG_1a,64,,,,,,,,
150_LeftDG_1b,47,,,,,,,,
150_LeftDG_2a,40,,,,,,,,
150_LeftDG_2b,43,,,,,,,,
150_LeftDG_3a,46,,,,,,,,
150_LeftDG_3b,41,,,,,,,,
150_RightCA1_1,58,,,,,,,,
150_RightCA1_2,44,,,,,,,,
150_RightCA1_3,56,,,,,,,,
150_RightCA3_1,51,,,,,,,,
150_RightCA3_2,61,,,,,,,,
150_RightCA3_3,56,,,,,,,,
150_RightDG_1a,49,,,,,,,,
150_RightDG_1b,34,,,,,,,,
150_RightDG_2a,51,,,,,,,,
150_RightDG_2b,44,,,,,,,,
150_RightDG_3a,62,,,,,,,,
150_RightDG_3b,38,,,,,,,,
1_LeftCA1_1,59,,,,,,,,
1_LeftCA1_2,50,,,,,,,,
1_LeftCA1_3,71,,,,,,,,
1_LeftCA3_1,52,,,,,,,,
1_LeftCA3_2,47,,,,,,,,
1_LeftCA3_3,61,,,,,,,,
1_LeftDG_1a,65,,,,,,,,
1_LeftDG_1b,41,,,,,,,,
1_LeftDG_2a,52,,,,,,,,
1_LeftDG_2b,42,,,,,,,,
1_LeftDG_3a,38,,,,,,,,
1_LeftDG_3b,51,,,,,,,,
1_RightCA1_1,61,,,,,,,,
1_RightCA1_2,59,,,,,,,,
1_RightCA1_3,55,,,,,,,,
1_RightCA3_1,51,,,,,,,,
1_RightCA3_2,53,,,,,,,,
1_RightCA3_3,47,,,,,,,,
1_RightDG_1a,59,,,,,,,,
1_RightDG_1b,57,,,,,,,,
1_RightDG_2a,57,,,,,,,,
1_RightDG_2b,46,,,,,,,,
1_RightDG_3a,43,,,,,,,,
1_RightDG_3b,49,,,,,,,,
2_LeftCA1_1,49,,,,,,,,
2_LeftCA1_2,54,,,,,,,,
2_LeftCA1_3,54,,,,,,,,
2_LeftCA3_1,36,,,,,,,,
2_LeftCA3_2,49,,,,,,,,
2_LeftCA3_3,51,,,,,,,,
2_LeftDG_1a,55,,,,,,,,
2_LeftDG_1b,29,,,,,,,,
2_LeftDG_2a,54,,,,,,,,
2_LeftDG_2b,49,,,,,,,,
2_LeftDG_3a,45,,,,,,,,
2_LeftDG_3b,37,,,,,,,,
2_RightCA1_1,45,,,,,,,,
2_RightCA1_2,58,,,,,,,,
2_RightCA1_3,53,,,,,,,,
2_RightCA3_1,38,,,,,,,,
2_RightCA3_2,48,,,,,,,,
2_RightCA3_3,42,,,,,,,,
2_RightDG_1a,34,,,,,,,,
2_RightDG_1b,26,,,,,,,,
2_RightDG_2a,53,,,,,,,,
2_RightDG_2b,53,,,,,,,,
2_RightDG_3a,43,,,,,,,,
2_RightDG_3b,34,,,,,,,,
3_LeftCA1_1,56,,,,,,,,
3_LeftCA1_2,47,,,,,,,,
3_LeftCA1_3,58,,,,,,,,
3_LeftCA3_1,43,,,,,,,,
3_LeftCA3_2,41,,,,,,,,
3_LeftCA3_3,44,,,,,,,,
3_LeftDG_1a,46,,,,,,,,
3_LeftDG_1b,36,,,,,,,,
3_LeftDG_2a,40,,,,,,,,
3_LeftDG_2b,31,,,,,,,,
3_LeftDG_3a,43,,,,,,,,
3_LeftDG_3b,47,,,,,,,,
3_RightCA1_1,66,,,,,,,,
3_RightCA1_2,45,,,,,,,,
3_RightCA1_3,51,,,,,,,,
3_RightCA3_1,46,,,,,,,,
3_RightCA3_2,39,,,,,,,,
3_RightCA3_3,36,,,,,,,,
3_RightDG_1a,59,,,,,,,,
3_RightDG_1b,50,,,,,,,,
3_RightDG_2a,35,,,,,,,,
3_RightDG_2b,28,,,,,,,,
3_RightDG_3a,52,,,,,,,,
3_RightDG_3b,43,,,,,,,,
4_LeftCA1_1,57,,,,,,,,
4_LeftCA1_2,48,,,,,,,,
4_LeftCA1_3,47,,,,,,,,
4_LeftCA3_1,50,,,,,,,,
4_LeftCA3_2,40,,,,,,,,
4_LeftCA3_3,43,,,,,,,,
4_LeftDG_1a,89,,,,,,,,
4_LeftDG_1b,36,,,,,,,,
4_LeftDG_2a,71,,,,,,,,
4_LeftDG_2b,28,,,,,,,,
4_LeftDG_3a,81,,,,,,,,
4_LeftDG_3b,50,,,,,,,,
4_RightCA1_1,70,,,,,,,,
4_RightCA1_2,45,,,,,,,,
4_RightCA1_3,58,,,,,,,,
4_RightCA3_1,43,,,,,,,,
4_RightCA3_2,50,,,,,,,,
4_RightCA3_3,34,,,,,,,,
4_RightDG_1a,50,,,,,,,,
4_RightDG_1b,37,,,,,,,,
4_RightDG_2a,40,,,,,,,,
4_RightDG_2b,31,,,,,,,,
